      0,45	 0,0255391	-0,0193604	  -1,74583
       1,1	 0,0258135	-0,0103662	  -1,81273
      1,75	 0,0258135	-0,00152444	  -1,78546
       2,4	 0,0233439	 0,0346049	  -1,64894
       3,1	 0,0230695	-0,0373489	  -1,62133
      3,75	 0,0252647	-0,00701244	  -1,78013
       4,4	 0,0230695	 0,0106711	  -1,63886
      5,05	 0,0227951	 0,0277449	  -1,60981
      5,75	 0,0244415	 -0,042532	  -1,68112
       6,4	 0,0227951	  -0,02058	   -1,6049
      7,05	 0,0227951	0,00106711	  -1,59067
       7,7	 0,0227951	 0,0199702	  -1,60355
      8,35	 0,0222463	 0,0405502	  -1,57331
      9,05	 0,0225207	-0,0330804	  -1,53884
      9,65	 0,0225207	 0,0797284	  -1,55315
       9,7	 0,0225207	-0,0166164	  -1,61117
     10,35	 0,0219719	 0,0138724	  -1,52487
        11	 0,0216975	 0,0347573	   -1,5131
      11,7	 0,0216975	-0,0326231	  -1,51555
     12,35	 0,0219719	-0,0125004	   -1,5396
        13	 0,0222463	-0,00228667	  -1,53698
     13,65	 0,0214231	 0,0298791	  -1,48142
     14,35	 0,0216975	-0,0352147	  -1,49717
        15	 0,0233439	-0,0240862	  -1,62726
     15,65	 0,0216975	0,00487822	  -1,50412
     16,35	 0,0216975	-0,0551849	  -1,51191
        17	 0,0219719	-0,0373489	  -1,64073
     17,65	 0,0222463	-0,0103662	  -1,55502
      18,3	 0,0208743	0,00472578	  -1,47211
     18,95	 0,0227951	 0,0373489	  -1,57602
     19,65	 0,0203255	-0,0355196	  -1,41714
      20,3	 0,0208743	-0,0170738	  -1,45288
     20,95	 0,0227951	0,00884178	   -1,5031
      21,6	 0,0205999	 0,0262204	  -1,44924
      22,3	 0,0219719	-0,0478676	  -1,56603
     22,95	 0,0225207	-0,0129578	  -1,60084
      23,6	 0,0208743	0,00350622	  -1,42222
     24,25	 0,0233439	 0,0182933	  -1,57517
      24,9	 0,0208743	 0,0431418	  -1,44509
     24,95	 0,0208743	-0,0403978	  -1,44839
      25,6	 0,0208743	-0,0211898	  -1,43891
     26,25	 0,0214231	-0,000609778	  -1,47778
      26,9	 0,0233439	 0,0289644	  -1,62108
     27,55	 0,0208743	 0,0399404	  -1,44602
     28,25	 0,0230695	-0,0330804	  -1,61151
      28,9	 0,0208743	-0,00243911	   -1,4793
     29,55	 0,0208743	 0,0179884	  -1,46508
      30,2	 0,0227951	 0,0496969	  -1,59245
     30,25	 0,0227951	-0,0528982	  -1,59203
      30,9	 0,0211487	-0,0208849	  -1,48345
     31,55	 0,0208743	-0,00259156	  -1,47405
      32,2	 0,0230695	 0,0320133	  -1,59813
     32,85	 0,0208743	  0,038416	  -1,47693
      33,5	 0,0222463	 0,0583862	  -1,49404
      34,2	 0,0230695	-0,00640267	   -1,6027
     34,85	 0,0211487	 0,0172262	  -1,48549
      35,5	 0,0230695	 0,0378062	  -1,66986
      36,2	 0,0233439	-0,0236289	  -1,65284
     36,85	 0,0216975	-0,00655511	  -1,53596
     37,55	 0,0216975	 -0,069972	  -1,52199
     38,15	 0,0211487	 0,0381111	  -1,49827
     38,85	 0,0214231	-0,0280498	  -1,52571
     39,45	 0,0216975	  0,079576	  -1,49023
      39,5	 0,0216975	-0,0135676	  -1,55036
      40,2	 0,0222463	-0,0725636	    -1,538
      40,8	 0,0216975	 0,0330804	  -1,53071
     41,45	 0,0233439	 0,0461907	  -1,62345
     42,15	 0,0219719	-0,0152444	   -1,5551
      42,8	 0,0216975	  0,005488	  -1,54223
      43,5	 0,0225207	-0,0573191	     -1,58
      44,1	 0,0214231	 0,0457333	  -1,52182
     44,15	 0,0214231	-0,0423796	  -1,52089
      44,8	 0,0219719	-0,0211898	  -1,56459
     45,45	 0,0219719	0,00106711	  -1,59338
      46,1	 0,0214231	  0,023324	  -1,54926
     46,75	 0,0208743	 0,0429893	  -1,51216
      46,8	 0,0208743	 -0,043904	   -1,5219
      47,4	 0,0222463	 0,0669231	  -1,50903
      48,1	 0,0216975	-0,00472578	  -1,55849
     48,75	 0,0236183	 0,0198178	   -1,7543
     49,45	 0,0211487	-0,0388733	  -1,56349
     50,05	 0,0222463	 0,0594533	  -1,58898
     50,75	 0,0219719	-0,0189031	  -1,62125
      51,4	 0,0216975	 0,0140249	  -1,57052
     52,05	 0,0211487	 0,0336902	  -1,50149
      52,7	 0,0222463	 0,0582338	  -1,51208
      53,4	 0,0214231	-0,00990889	  -1,53452
     54,05	 0,0214231	 0,0131102	  -1,53198
     54,75	 0,0227951	-0,0500018	   -1,6066
      55,4	 0,0211487	-0,0272876	  -1,52224
        56	 0,0216975	 0,0759173	  -1,51022
     56,05	 0,0216975	-0,0185982	   -1,5601
     56,75	 0,0222463	-0,0711916	   -1,5402
     57,35	 0,0214231	 0,0352147	  -1,50344
        58	 0,0225207	 0,0565569	  -1,52055
      58,7	 0,0216975	-0,00701244	  -1,53037
     59,35	 0,0219719	 0,0152444	  -1,54418
